@relation 'DS - 2011-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-do-not-check-capabilities-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-do-not-check-capabilities-weka.filters.unsupervised.attribute.Remove-R41,43,45,49,51,53-55,59-60,62,65,75-76,81,85-86-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C29-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C30-Llast-weka.filters.unsupervised.attribute.Remove-R29-69-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute '\%NoCar&LowStoreAccess' numeric
@attribute GroceryStore/1000pop numeric
@attribute SuperCenter&ClubStore/1000pop numeric
@attribute FastFoodRestaurant/1000pop numeric
@attribute FullServiceRestaurant/1000pop numeric
@attribute Fruit&Veg-Lbs/Household numeric
@attribute SweetSnacks-Lbs/Household numeric
@attribute Soda-Gals/Household numeric
@attribute Meat&Poultry-Lbs/Household numeric
@attribute SolidFats-Lbs/Household numeric
@attribute PreparedFood-Lbs/Household numeric
@attribute 'FoodInsecurity(-1,0,1)' numeric
@attribute DiabetesAdultRate numeric
@attribute ObesityAdultRate numeric
@attribute '\%AdultPhysicalActivity' numeric
@attribute MedianHouseHoldIncome numeric
@attribute PovertyRate numeric
@attribute '\%WhitePop' numeric
@attribute '\%BlackPop' numeric
@attribute '\%HispanicPop' numeric
@attribute '\%AsianPop' numeric
@attribute '\%LowIncome&LowStoreAccess' numeric
@attribute FastFoodExpendituresPerCapita numeric
@attribute RestaurantExpendituresPerCapita numeric
@attribute '\%LocalFarmsSales' numeric
@attribute '\%HighschoolersPhysicalActivity' numeric
@attribute Recreation&FitnessFacilities numeric
@attribute STATE_NUM numeric

@data
0.157377,0.086887,0.222607,0.403262,0.221185,0.413793,0.428571,0.378378,0.441176,0.25,0.711111,0.5,0.53719,0.533632,0.544186,0.295479,0.431818,0.717258,0.431818,0.156863,0.275862,0.151148,0.428725,0.82069,0.149573,0.404145,0.216873,8
0.229508,0.238128,0,0.283384,0.153078,0.206897,0,0.540541,0.720588,0.125,0.177778,0.5,0.644628,0.591928,0.544186,0.18452,0.514205,0.840881,0.237374,0.105882,0.068966,0.105673,0.428725,0.82069,0.24359,0.404145,0,9
0.003279,0.234067,0.249868,0.431755,0.264823,0.206897,0,0.540541,0.720588,0.125,0.177778,0.5,0.61157,0.502242,0.544186,0.338731,0.25,0.623011,0.563131,0.141176,0.827586,0.003898,0.428725,0.82069,0.358974,0.404145,0.18779,9
0.009836,0.160803,0.171658,0.191364,0.341123,0.413793,0.428571,0.378378,0.441176,0.25,0.711111,0.5,0.570248,0.367713,0.544186,0.448953,0.357955,0.738066,0.262626,0.321569,0.689655,0.007362,0.428725,0.82069,0.196581,0.404145,0.119454,9
0.032787,0.628318,0,0.498487,0.646254,0.206897,0,0.540541,0.720588,0.125,0.177778,0.5,0.545455,0.44843,0.544186,0.234845,0.198864,0.755202,0.414141,0.086275,0.103448,0.04764,0.428725,0.82069,0.273504,0.404145,0,9
0,0.279087,0,0.124548,0.161468,0.413793,0.428571,0.378378,0.441176,0.25,0.711111,0.5,0.487603,0.600897,0.544186,0.269955,0.198864,0.862913,0.171717,0.137255,0.068966,0,0.428725,0.82069,0.15812,0.404145,0,9
0.183607,0.107632,0,0.192131,0.124542,0.252874,0,0.135135,0.205882,0.125,0.277778,0.5,0.677686,0.64574,0.544186,0.302026,0.15625,0.585067,0.292929,0.666667,0.137931,0.225639,0.428725,0.82069,0.166667,0.404145,0,10
0.029508,0.224653,0,0.44558,0.144416,0.206897,0,0.540541,0.720588,0.125,0.177778,0.5,0.504132,0.390135,0.544186,0.29271,0.150568,0.675643,0.532828,0.145098,0.137931,0.053703,0.428725,0.82069,0.149573,0.404145,0.267018,10
0.737705,0.414146,0,0.197142,0.063895,0.413793,0.428571,0.378378,0.441176,0.25,0.711111,0.5,0.61157,0.659193,0.544186,0.199585,0.494318,0.450428,0.883838,0.356863,0.068966,0.465136,0.428725,0.82069,0.055556,0.404145,0,10
0,0.153678,0.268449,0.320048,0.247874,0.252874,0,0.135135,0.205882,0.125,0.277778,0.5,0.595041,0.358744,0.544186,0.306556,0.235795,0.804162,0.128788,0.356863,0.37931,0,0.428725,0.82069,0.333333,0.404145,0.149448,12
0.032787,0.263611,0.153494,0.356489,0.203352,0.252874,0,0.135135,0.205882,0.125,0.277778,0.5,0.760331,0.381166,0.544186,0.218532,0.278409,0.668299,0.224747,0.647059,0.413793,0.067995,0.428725,0.82069,0.149573,0.404145,0.213629,12
0.478689,0.185219,0,0.183683,0.166693,0.206897,0,0.540541,0.720588,0.125,0.177778,0.5,0.719008,0.547085,0.544186,0.211729,0.338068,0.855569,0.181818,0.098039,0.137931,0.326548,0.428725,0.82069,0.128205,0.404145,0.110074,12
0,0.213266,0.341494,0.417708,0.34274,0.252874,0,0.135135,0.205882,0.125,0.277778,0.5,0.528926,0.170404,0.544186,0.437711,0.559659,0.75153,0.217172,0.4,0.344828,0.001732,0.428725,0.82069,0.440171,0.404145,0.237641,12
0.072131,0.241119,0.308876,0.473458,0.158101,0.206897,0,0.540541,0.720588,0.125,0.177778,0.5,0.652893,0.618834,0.544186,0.278789,0.127841,0.611995,0.666667,0.137255,0.172414,0.063231,0.428725,0.82069,0.222222,0.404145,0,12
